Number,NumberText,Description,Status,Hint,Grade
0.5,,"Майские сборы",,,grade-summer-9-10
1,,"Тая загадала натуральное число, у которого ровно 600 натуральных делителей, и сообщила Саше $k$ из них. При каком наименьшем значении $k$ Саша гарантированно может определить загаданное число?",,,grade-summer-9-10
2,,"По кругу расположены 202 ячейки. В каждой ячейке записано некоторое целое число от 0 до 201. Каждую минуту одновременно для всех ячеек выполняется следующая операция. Пусть в ячейке $X$ записано число $a$; находим ячейку, отстоящую от неё на $a$ позиций против часовой стрелки, и пусть в ней записано число $b$. Тогда в ячейке $X$ число $a$ заменяется на остаток числа $a+b$ при делении на 202. Оказалось, что после выполнения 202 операций числа во всех ячейках совпали с начальными. Докажите, что это совпадение произошло и раньше — менее, чем после 202 операций.",,,grade-summer-9-10
3,,"Найдите все тройки вещественных чисел $a, b, c$, для которых $a^2 + b^2 + c^2 = 1$ и $$\sqrt{\frac{1}{a^2+2bc}} + \sqrt{\frac{1}{b^2+2ca}} + \sqrt{\frac{1}{c^2+2ab}} = 3 + \frac{3}{4}(a-b)^2.$$",,,grade-summer-9-10
4,,"Диагонали вписанного четырёхугольника $ABCD$ пересекаются в точке $T$. На луче $AB$ отмечена точка $P$, на луче $CB$ — точка $Q$, на луче $DC$ — точка $R$, на луче $DA$ — точка $S$, причём $TP \parallel CD$, $TQ \parallel DA$, $TR \parallel AB$ и $TS \parallel BC$. Окружности $(BPQ)$ и $(DRS)$ пересекаются в точках $X$ и $Y$. Окружность $(TXY)$ пересекает отрезок $AC$ в точках $Z$ и $T$. Докажите, что $XY = ZT$.",,,grade-summer-9-10
5,,"Дано натуральное число $n \geqslant 3$. Найдите наименьшее натуральное $k$, для которого найдётся многочлен степени $k$ с целыми коэффициентами и старшим коэффициентом, равным 1, имеющий хотя бы по одному корню на каждом из интервалов $(-n; -n+1)$, $(-n+1; -n+2)$, …, $(-1; 0)$, $(0; 1)$.",,,grade-summer-9-10
6,,"Четырёхугольник $ABCD$ описан вокруг окружности $\omega$. Точки касания отрезков $AB$ и $AD$ со вписанной в треугольник $ABD$ окружностью — концы отрезка $m_a$. Отрезки $m_b$, $m_c$ и $m_d$ определяются аналогично. Какое наибольшее число общих точек окружность $\omega$ может иметь с объединением отрезков $m_a, m_b, m_c, m_d$?",,,grade-summer-9-10
7,,"На бесконечной клетчатой плоскости выделены неперекрывающиеся клетчатые прямоугольники так, что никакие два из них в объединении не образуют клетчатый прямоугольник. При каком наименьшем $t$ для каждого натурального $N$ обязательно найдётся клетчатый квадрат $N \times N$, содержащий целиком не более $tN^2$ прямоугольников?",,,grade-summer-9-10
8,,"Назовём $(2k)$-значное целое положительное число $N$ замечательным квадратом, если $N$ — точный квадрат, а кроме того, число, образованное первыми $k$ цифрами $N$, и число, образованное последними $k$ цифрами $N$, в сумме дают $\sqrt{N}$. (Например, 2025 — замечательный квадрат, поскольку $20 + 25 = 45$, а $45^2 = 2025$.) Докажите, что для каждого целого положительного $k \geqslant 2$ существуют хотя бы два $(2k)$-значных замечательных квадрата. (Считаем, что число, образованное последними $k$ цифрами числа $N$, может начинаться с одного или нескольких нулей.)",,,grade-summer-9-10
8.5,,"Комбинаторика",,,grade-summer-9-10
9,,"В стране 1988 городов и 4000 дорог. Докажите, что найдётся цикл, в котором не более, чем 20 дорог.",,,grade-summer-9-10
10,,"На плоскости лежат несколько кругов радиуса 1. Среди любых четырёх из них какие-то два имеют общую точку. Докажите, что суммарная площадь, покрываемая кругами, меньше 60.",,,grade-summer-9-10
11,,"Прямоугольник разбит на доминошки. Докажите, что клетки прямоугольника можно раскрасить в два цвета так, чтобы любая доминошка в данном разбиении была разноцветной, а в любом другом разбиении нашлась одноцветная доминошка.",,,grade-summer-9-10
12,,"Кружковец (к.) «помогает» маме красить забор. У мамы есть $q$ литров зелёной краски, всего необходимо покрасить 1 метр забора. На покраску $p$ метров забора уходит $p$ литров краски. Поскольку к. хочет решать задачи, а не красить забор, мама решила превратить процесс покраски в игру. За ход к. выбирает число $m \in \mathbb{N}$, а затем мама — целое число $k \in [0; 2^m - 1]$. После чего к. красит участок забора от $\frac{k}{2^m}$ метров от начала до $\frac{k+1}{2^m}$. (К. может выбрать число $m$ только если к этому моменту в ведре не меньше $\frac{1}{2^m}$ литров краски). При каких значениях $q$ (это не обязательно целое положительное число) вредный к. может сделать конечное число ходов таким образом, чтобы краски не осталось, но забор целиком покрашен не был?",,,grade-summer-9-10
13,,"(Д. Чакериан, 1970). На плоскости дано несколько точек, не все лежащие на одной прямой. Данные точки раскрашены в два цвета. Тогда существует прямая, содержащая не менее двух отмеченных точек, и при этом все, лежащие на этой прямой точки, одного цвета.",,,grade-summer-9-10
13.5,,"Алгебра. Метод квазилинеаризации состоит в замене нелинейной функции на максимум линейных функций, а затем воспользоваться полученной линейностью.",,,grade-summer-9-10
14,,"a) (квазилинеаризация с помощью неравенства Коши-Буняковского) Докажите, что $$\sum_{i=1}^n x_i^2 = \max\left\{\left(\sum_{i=1}^n x_i y_i\right)^2 \;\Big|\; \sum_{i=1}^n y_i^2 = 1\right\}.$$ b) (квазилинеаризация с помощью неравенства о средних) Докажите, что $$\sqrt[n]{x_1 x_2 \ldots x_n} = \min\left\{\sum_{i=1}^n \frac{x_i y_i}{n} \;\Big|\; y_1 y_2 \ldots y_n = 1,\; y_i \geqslant 0\right\}.$$",,,grade-summer-9-10
